Country,Began,Ended,Duration in Days,Dead,Displaced,Main cause,Severity *,Affected sq km,Magnitude (M)**,Longitude of Centroid X,Latitude of Centroid Y
Columbia,01-Nov-14,14-Dec-14,44,44,0,Heavy rain,1,406009.51,7.251988883,-75.544,4.59198
USA,11-Dec-14,14-Dec-14,4,3,0,Torrential rain,1,50235.67,5.303072190,-123.101,39.7967
Brazil,10-Dec-14,14-Dec-14,5,0,0,Torrential rain,1,199807.2,5.999581138,-49.2145,-24.8513
Bulgaria,04-Dec-14,14-Dec-14,11,40,1000,Heavy rain,1.5,147616.57,6.386619054,27.7106,41.4579
Palestine,26-Nov-14,05-Dec-14,10,0,300,Torrential rain,1.5,2861.66,4.632709292,34.4532,31.3378
France,29-Nov-14,05-Dec-14,7,5,3000,Torrential rain,1.5,123269.25,6.112044053,0.863937,43.999
USA,01-Dec-14,05-Dec-14,5,0,40,Torrential rain,1,202666.27,6.005751479,-117.212,35.4299
Morocco,24-Nov-14,05-Dec-14,12,40,0,Heavy rain,2,273693.63,6.817475931,-5.61886,31.5566
Thailand,07-Nov-14,16-Nov-14,10,0,1000,Monsoonal rain,1,31653.08,5.500415975,99.5163,8.02409
Italy,12-Nov-14,16-Nov-14,5,5,0,Torrential rain,1.5,36733.48,5.440123337,10.6129,45.9281
Indonesia,14-Nov-14,16-Nov-14,3,0,2400,Heavy rain,1,57442.62,5.236355495,100.753,-1.02615
France,13-Nov-14,16-Nov-14,4,5,0,Heavy rain,1.5,36709.07,5.342924632,5.09507,44.2452
Greece,25-Oct-14,27-Oct-14,3,0,0,Torrential rain,1,4855.4,4.163346269,23.4176,38.1738
Somalia,24-Oct-14,16-Nov-14,24,0,21000,Heavy rain,1.5,42635.81,6.186077019,45.2538,4.13428
India,22-Oct-14,27-Oct-14,6,5,300,Monsoonal rain,1,115476.31,5.840644148,78.2616,10.2916
Spain,19-Oct-14,22-Oct-14,4,1,0,Torrential rain,1,7566.97,4.480982003,-16.5329,28.2782
India,12-Oct-14,27-Oct-14,16,42,0,Tropical Storm,1.5,376261.49,6.955701013,79.6967,18.4473
Mexico,18-Oct-14,27-Oct-14,10,6,4000,Tropical Storm,1.5,187176.03,6.448341491,-98.4317,21.7845
South Sudan,15-Oct-14,27-Oct-14,13,4,140,Heavy rain,1,388189.52,6.702987159,31.1747,6.69427
USA,21-Oct-14,22-Oct-14,2,0,0,Torrential rain,1,8447.1,4.227737631,-80.4061,26.9326
Nicaragua,15-Oct-14,27-Oct-14,13,24,33000,Torrential rain,1.5,221816.02,6.636027520,-87.5693,13.8455
Nicaragua,09-Oct-14,11-Oct-14,3,1,50,Heavy rain,1.5,79061.87,5.551179596,-85.6393,12.6289
Italy,10-Oct-14,11-Oct-14,2,1,0,Torrential rain,1,6229.19,4.095461573,9.17775,44.6146
Democratic Republic of Congo,04-Oct-14,11-Oct-14,8,4,200,Monsoonal rain,1,781320.47,6.795919190,25.2115,-7.98006
Malaysia,04-Oct-14,11-Oct-14,8,0,100,Torrential rain,1,31695.74,5.404090883,117.183,6.0074
Philippines,19-Sep-14,11-Oct-14,23,5,83000,Tropical Storm,1.5,30855.03,6.027145068,121.612,14.6575
India,24-Sep-14,11-Oct-14,18,59,30000,Monsoonal rain,1.5,61894.97,6.223019121,92.4891,26.7465
Vanuatu,03-Oct-14,11-Oct-14,9,1,100,Torrential rain,1,3365.71,4.481319203,166.967,-15.3154
South Sudan,21-Sep-14,11-Oct-14,21,7,3000,Heavy rain,1,143087.31,6.477820414,32.9068,6.94173
China,01-Sep-14,08-Sep-14,8,44,121700,Monsoonal rain,1.5,55272.31,5.821688862,108.35,30.7799
Thailand,01-Sep-14,08-Sep-14,8,0,400,Monsoonal rain,1,34449.25,5.440269758,100.457,16.4039
Bulgaria,05-Sep-14,08-Sep-14,4,3,0,Torrential rain,1,7804.96,4.494430673,27.4879,42.6219
South Korea,24-Aug-14,04-Sep-14,12,5,0,Torrential rain,1.5,35508.04,5.805599206,128.392,36.051
Panama,18-Aug-14,04-Sep-14,18,9,116,Heavy rain,1,22658.51,5.610503853,-80.9628,8.23894
Dominican Republic,20-Aug-14,04-Sep-14,16,0,4000,Tropical Storm,1,13399.5,5.331208576,-69.754,19.0682
Pakistan,01-Sep-14,11-Oct-14,41,300,30000,Monsoonal rain,2,253686.93,7.318111945,75.3419,33.9449
Bangladesh,20-Aug-14,08-Sep-14,20,17,500000,Monsoonal rain,1.5,35999.91,6.033422670,90.6333,24.5661
USA,10-Aug-14,19-Aug-14,10,1,0,Torrential rain,2,11462.27,5.360300630,-83.3134,42.5291
India,15-Aug-14,08-Sep-14,25,1,75000,Monsoonal rain,1,44290.91,6.044254612,94.6542,27.6132
Niger,13-Aug-14,19-Aug-14,7,12,10000,Heavy rain,1,350748.91,6.390094370,6.40648,16.3273
India,14-Aug-14,08-Sep-14,26,0,10000,Monsoonal rain,1.5,62650.8,6.387991228,86.2537,26.1795
Indonesia,11-Aug-14,19-Aug-14,9,2,600,Torrential rain,1,65176.82,5.768335677,107.83,-7.0044
China,11-Aug-14,19-Aug-14,9,27,10000,Monsoonal rain,1.5,387775.13,6.718913721,114.164,25.4709
India,11-Aug-14,08-Sep-14,29,31,4000,Monsoonal rain,1.5,107474.39,6.669794246,79.7586,27.3852
Nepal,12-Aug-14,08-Sep-14,28,180,17000,Monsoonal rain,1.5,55212.66,6.365287961,81.9731,28.9832
Japan,16-Aug-14,19-Aug-14,4,3,12000,Torrential rain,2,76116.81,5.784570566,136.31,35.7986
Papua New Guinea,20-Jul-14,29-Jul-14,10,4,0,Heavy rain,1.5,51770.21,5.890171186,143.399,-6.06802
China,18-Jul-14,29-Jul-14,12,46,100000,Typhoon,2,82764.22,6.298053868,107.508,21.4955
Russia,22-Jul-14,29-Jul-14,8,0,0,Heavy rain,2,224475.55,6.555289027,156.129,62.7394
India,20-Jul-14,29-Jul-14,10,6,15000,Monsoonal rain,1,189576.05,6.277783470,84.1258,20.7752
South Sudan,20-Jul-14,08-Sep-14,51,77,112000,Heavy rain,1.5,641087.55,7.690578778,31.0015,10.2137
Brazil,03-Jul-14,29-Jul-14,27,10,50000,Heavy rain,2,44866.46,6.384315565,-58.0256,-32.3467
Nepal,01-Jul-14,14-Jul-14,14,16,2400,Torrential rain,1.5,11578.77,5.385881722,84.6207,28.4737
Bangladesh,13-Jul-14,14-Jul-14,2,0,30000,Heavy rain,1.5,217.529,2.814638418,90.5498,22.3313
USA,11-Jul-14,14-Jul-14,4,0,0,Ice Jams,1,2950.82,4.072002710,-134.446,58.1993
Brazil,22-May-14,29-Jul-14,69,0,0,Heavy rain,2,256564.57,7.549075769,-59.5597,-2.92934
Sudan,07-Jul-14,14-Jul-14,8,0,42400,Heavy rain,1.5,137141.28,6.216349445,33.08,13.3883
New Zealand,05-Jul-14,14-Jul-14,10,0,0,Heavy rain,1,8581.24,4.933550048,174.068,-35.6989
Thailand,11-Jul-14,14-Jul-14,4,0,500,Heavy rain,1,15921.63,4.804047519,99.739,19.8258
China,05-Jun-14,25-Jun-14,21,14,337000,Monsoonal rain,1,377101.63,6.898677704,112.358,26.4396
India,23-Jun-14,25-Jun-14,3,0,10000,Monsoonal rain,1,49220.53,5.169267541,94.716,27.8115
Philippines,17-Jun-14,25-Jun-14,9,0,35000,Heavy rain,1,15356.31,5.140529380,124.73,6.7719
USA,10-Jun-14,14-Jul-14,35,0,600,Heavy rain,2,418317.13,7.466603689,-94.7944,42.708
Bulgaria,19-Jun-14,25-Jun-14,7,12,2000,Torrential rain,2,24415.42,5.533792235,27.0426,42.9445
Paraguay,03-Jun-14,14-Jul-14,42,9,265000,Heavy rain,2,554605.25,7.668263262,-53.547,-24.3541
Russia,04-Jun-14,10-Jun-14,7,70,3000,Torrential rain,1.5,1829701.35,7.283569508,94.3696,55.0332
Mexico,01-Jun-14,10-Jun-14,10,22,25000,Monsoonal rain,1.5,113685.43,6.231796068,-94.0274,16.5997
Iran,01-Jun-14,10-Jun-14,10,37,440000,Monsoonal rain,1.5,305525.25,6.661138367,57.2544,34.3756
China,30-May-14,10-Jun-14,12,6,500,Heavy rain,1,45994.3,5.741885260,113.342,23.2652
Sri Lanka,04-Jun-14,10-Jun-14,7,5,16000,Tropical Storm,1.5,10337.47,5.035603561,80.1668,7.66215
Afghanistan,03-Jun-14,10-Jun-14,8,0,300,Heavy rain,1.5,44203.93,5.724642129,68.0178,35.6352
China,12-May-14,16-May-14,5,1,10000,Heavy rain,2,205001.27,6.311756552,111.467,27.3821
Tajikistan,10-May-14,16-May-14,7,0,425,Heavy rain,1.5,41719.46,5.641527978,69.3787,38.4853
Italy,02-May-14,10-May-14,9,2,250,Torrential rain,1.5,11256.33,5.181730585,13.013,43.3979
Tanzania,10-May-14,16-May-14,7,0,22000,Heavy rain,1,22249.34,5.192415173,38.9442,-7.66435
Serbia,12-May-14,16-May-14,5,3,4000,Heavy rain,2,115747.69,6.063512332,19.2236,44.56
Romania,17-Apr-14,01-May-14,15,0,640,Torrential rain,1.5,87430.69,6.293846424,24.494,44.0617
Tanzania,18-Apr-14,01-May-14,14,41,0,Torrential rain,1.5,18498.39,5.589353226,38.9689,-7.19301
Afghanistan,20-Apr-14,16-May-14,27,123,6000,Torrential rain,1.5,83722.34,6.530296381,66.4342,35.834
USA,30-Apr-14,01-May-14,2,1,200,Torrential rain,2,260469.81,6.017817385,-84.9465,31.2966
USA,01-Apr-14,08-Apr-14,8,2,300,Heavy rain,1.5,82418.56,5.995206268,-87.6188,31.8585
Argentina,01-Apr-14,08-Apr-14,8,0,2000,Heavy rain,1.5,69876.78,5.923514130,-70.2984,-38.3652
Solomon Islands,01-Apr-14,08-Apr-14,8,23,10000,Heavy rain,2,5480.75,4.942959975,160.342,-9.67763
South Africa,01-Mar-14,30-Mar-14,30,37,3528,Heavy rain,1.5,1037639.19,7.669258880,25.6074,-21.5153
Australia,24-Mar-14,30-Mar-14,7,1,0,Torrential rain,1.5,250162.12,6.419410848,150.117,-26.2415
USA,25-Mar-14,30-Mar-14,6,0,200,Heavy rain,1.5,53220.79,5.680323826,-89.1282,31.4244
Zimbabwe,01-Feb-14,30-Mar-14,58,0,4000,Dam Break,1,17205.64,5.999098825,31.3479,-21.5196
Paraguay,25-Feb-14,10-Mar-14,14,0,2000,Heavy rain,1,6829.57,4.980521396,-57.5833,-25.2205
Burundi,19-Feb-14,10-Mar-14,20,69,20000,Torrential rain,2,3237.42,5.112259037,29.6499,-4.14041
New Zealand,03-Mar-14,10-Mar-14,8,0,80,Heavy rain,2,1015.84,4.210945292,172.613,-43.4538
USA,03-Mar-14,10-Mar-14,8,0,900,Tropical cyclone,1.5,34.8366,2.621217008,168.729,7.30951
Mozambique,24-Feb-14,10-Mar-14,15,4,20000,Heavy rain,1,481907.88,6.859055287,31.5459,-24.4459
France,20-Jan-14,07-Feb-14,19,4,1000,Heavy rain,1.5,82989.45,6.373867746,7.0993,43.9958
Indonesia,08-Jan-14,07-Feb-14,31,23,20000,Heavy rain,1.5,35769.22,6.220962423,107.706,-6.6324
Australia,02-Feb-14,07-Feb-14,6,0,0,Tropical Storm,1,426979.84,6.408558621,131.732,-14.3299
Zimbabwe,15-Jan-14,07-Feb-14,24,0,4000,Heavy rain,1.5,72462.23,6.416414196,28.9231,-20.2044
Zimbabwe,15-Jan-14,07-Feb-14,24,0,0,Heavy rain,1.5,142586.1,6.710379691,30.8531,-17.2057
Bolivia,10-Jan-14,01-May-14,112,60,84000,Heavy rain,2,381576.65,7.931829809,-64.0135,-13.3888
Peru,01-Jan-14,04-Jan-14,4,0,300,Heavy rain,1,74144.66,5.472139869,-71.5232,-12.4186
USA,22-Dec-13,04-Jan-14,14,5,0,Heavy rain,1,16069.91,5.352141480,-86.7899,37.5597
Saint Vincent,26-Dec-13,04-Jan-14,10,11,0,Heavy rain,1,830.232,3.919199469,-60.9886,13.9188
Brazil,23-Dec-13,04-Jan-14,13,45,60000,Heavy rain,2,314284.91,6.912296877,-41.9423,-18.9538
Indonesia,29-Dec-13,04-Jan-14,7,0,4500,Heavy rain,1,22524.63,5.197755706,97.2893,4.48013
UK,27-Dec-13,07-Feb-14,43,0,200,Heavy rain,1.5,126149.79,6.910446247,-1.51144,53.2732
Thailand,20-Nov-13,08-Dec-13,19,23,15254,Monsoonal rain,1.5,38676.71,6.042294384,100.395,7.2182
Cuba,01-Dec-13,08-Dec-13,8,2,227,Torrential rain,1,7627.3,4.785460816,-81.3958,22.9043
Niger,03-Nov-13,08-Dec-13,36,0,1000,Heavy rain,1,65791.14,6.374469912,13.2017,15.0103
Malaysia,01-Dec-13,08-Dec-13,8,1,19000,Monsoonal rain,1.5,106697.53,6.107335612,102.362,3.58444
UK,05-Dec-13,08-Dec-13,4,8,4000,Tropical cyclone,2,51279.6,5.613034616,7.53306,53.4431
Somalia,08-Nov-13,19-Nov-13,12,100,0,Tropical Storm,1.5,181848.02,6.514981082,57.4276,21.6819
Saudi Arabia,18-Nov-13,19-Nov-13,2,15,121,Torrential rain,1.5,361386.84,6.035093588,44.8084,27.4145
Vietnam,14-Nov-13,19-Nov-13,6,41,80000,Heavy rain,1.5,48985.15,5.644306952,107.706,15.5821
Italy,18-Nov-13,19-Nov-13,2,18,2700,Torrential rain,2,15699.75,4.797952728,9.00455,40.3008
USA,31-Oct-13,10-Nov-13,11,4,4800,Torrential rain,2,38936.39,5.932778364,-98.0111,30.6607
Philippines,08-Nov-13,19-Nov-13,12,2000,200000,Tropical Storm,2,32476.99,5.891787013,125.052,11.4452
South Sudan,03-Nov-13,19-Nov-13,17,0,100,Heavy rain,1,111000.43,6.275773583,31.7933,7.33928
India,12-Oct-13,10-Nov-13,30,7,0,Heavy rain,1.5,102661.14,6.664618596,85.9321,24.7174
Peru,11-Oct-13,14-Oct-13,4,0,1100,Heavy rain,1.5,253520.53,6.182164384,-76.1873,-8.5735
Indonesia,07-Oct-13,14-Oct-13,8,0,16000,Torrential rain,1.5,31023.66,5.570874278,99.6771,2.95415
China,08-Oct-13,14-Oct-13,7,6,176900,Tropical Storm,1.5,41577.16,5.640044120,120.573,29.15
South Sudan,08-Oct-13,14-Oct-13,7,0,3300,Heavy rain,1,172574.26,6.082074060,28.8241,7.73724
Philippines,12-Oct-13,14-Oct-13,3,13,2500,Tropical Storm,2,54531.07,5.514795270,121.192,16.6413
Thailand,30-Sep-13,14-Oct-13,15,42,982799,Monsoonal rain,1.5,312091,6.846463763,101.694,13.0819
India,12-Oct-13,14-Oct-13,3,27,250000,Tropical Storm,2,246385.23,6.169765920,84.2495,21.2719
Cambodia,27-Sep-13,14-Oct-13,18,122,60000,Monsoonal rain,1.5,52283.25,6.149726340,105.084,12.658
USA,12-Sep-13,20-Sep-13,9,10,11000,Monsoonal rain,2,100404.04,6.257023693,-105.143,38.0024
Nigeria,10-Sep-13,16-Sep-13,7,0,300,Torrential rain,1.5,178191.77,6.272076941,7.63747,10.5244
Romania,11-Sep-13,16-Sep-13,6,8,2100,Torrential rain,2,7171.77,4.934807599,27.5529,45.7492
China,15-Aug-13,21-Aug-13,7,40,0,Tropical Storm,1.5,98182.91,6.013225199,113.694,22.7696
China,18-Aug-13,21-Aug-13,4,80,0,Monsoonal rain,1.5,93531.74,5.749110264,100.184,35.9161
Philippines,13-Aug-13,21-Aug-13,9,8,280000,Monsoonal rain,2,50412.4,5.957809879,121.142,16.3191
China,07-Aug-13,14-Oct-13,69,100,260000,Heavy rain,2,1430155.56,8.295262365,130.272,50.5323
Pakistan,07-Aug-13,21-Aug-13,15,70,12000,Monsoonal rain,1.5,462763.09,7.017541230,69.1065,28.7404
Burma,25-Jul-13,07-Aug-13,14,1,34000,Heavy rain,1.5,125250.85,6.419999977,98.1556,18.3122
USA,05-Aug-13,07-Aug-13,3,2,100,Torrential rain,1.5,123143.44,5.743623795,-94.1535,38.2138
Russia,01-Aug-13,07-Aug-13,7,0,1500,Heavy rain,2,102479.27,6.156764059,128.424,50.0043
Pakistan,01-Aug-13,07-Aug-13,7,135,81000,Heavy rain,1.5,549425.38,6.761098016,70.6377,32.8144
Sudan,01-Aug-13,21-Aug-13,21,11,100000,Heavy rain,1.5,1004638.92,7.500320553,28.9896,13.6883
Kenya,05-Aug-13,07-Aug-13,3,0,5000,Heavy rain,1,9047.26,4.433638326,35.2088,1.66076
Paraguay,04-Jul-13,15-Jul-13,12,0,52000,Heavy rain,1.5,131222.52,6.373280879,-57.6536,-24.146
North Korea,10-Jul-13,15-Jul-13,6,2,760,Heavy rain,1,21695.38,5.114518512,126.319,39.6151
China,11-Jul-13,15-Jul-13,5,0,8,Torrential rain,1.5,112220.53,5.925133579,108.355,23.0867
China,13-Jul-13,15-Jul-13,3,1,300000,Tropical Storm,1.5,101850.92,5.661177470,118.14,25.8633
China,05-Jul-13,15-Jul-13,11,200,100000,Heavy rain,1.5,419827.15,6.840554465,104.022,30.4563
Laos,23-Jun-13,27-Jun-13,5,0,0,Monsoonal rain,1,32196.91,5.206784198,104.85,17.6991
India,23-Jun-13,15-Jul-13,23,80,2000000,Monsoonal rain,2,38019.26,6.242761491,94.9182,27.387
Canada,20-Jun-13,27-Jun-13,8,3,100000,Heavy rain,2,307926.47,6.692567006,-109.647,51.2434
India,11-Jun-13,18-Jun-13,8,0,8000,Monsoonal rain,1,152700.5,6.086930446,82.5285,21.9781
New Zealand,15-Jun-13,18-Jun-13,4,0,0,Heavy rain,1.5,42497.49,5.406514531,170.669,-44.3589
India,12-Jun-13,27-Jun-13,16,5748,75000,Monsoonal rain,1.5,131743.41,6.499940142,76.6135,32.7135
USA,25-May-13,03-Jun-13,10,5,0,Torrential rain,1.5,170079.48,6.406743178,-91.6341,37.0898
Germany,28-May-13,18-Jun-13,22,8,3000,Heavy rain,2,241203.7,7.025836642,12.1089,49.1358
Norway,22-May-13,28-May-13,7,0,500,Heavy rain,1.5,28071.86,5.469460488,10.478,61.2832
USA,25-May-13,03-Jun-13,10,0,400,Heavy rain,1,123500.44,6.091668505,-93.3867,41.9211
USA,25-May-13,28-May-13,4,3,300,Heavy rain,2,33907.85,5.433390240,-98.8879,28.899
Columbia,26-May-13,28-May-13,3,0,0,Torrential rain,1,125894.94,5.577129530,-74.5465,3.66687
Sri Lanka,13-May-13,16-May-13,4,7,115000,Tropical Storm,1,17254.01,4.838950037,80.5325,7.13528
China,12-May-13,28-May-13,17,55,10000,Monsoonal rain,1.5,84761.74,6.334740044,114.464,23.6387
Bangladesh,14-May-13,16-May-13,3,19,1166000,Tropical Storm,1.5,72847.78,5.515628835,91.194,23.6387
Somalia,01-May-13,16-May-13,16,7,50000,Heavy rain,2,243476.26,6.891606600,43.6553,2.16964
Indonesia,06-May-13,16-May-13,11,0,3000,Torrential rain,1,17152.64,5.275723658,98.6181,3.84919
Russia,06-May-13,16-May-13,11,0,390,Ice Jams,1,630162.34,6.840845130,133.329,68.1591
Afghanistan,23-Apr-13,29-Apr-13,7,13,300,Torrential rain,1,14653.47,5.011038520,68.8486,36.9291
USA,27-Apr-13,29-Apr-13,3,0,0,Heavy rain,1,43180.94,5.112413347,-97.5977,48.5643
USA,22-Apr-13,29-Apr-13,8,5,300,Heavy rain,1.5,493136.77,6.772148632,-88.6401,38.8278
Saudi Arabia,25-Apr-13,16-May-13,22,0,0,Heavy rain,1,814307.06,7.253210881,52.3938,22.7624
Somalia,05-Apr-13,29-Apr-13,25,0,4000,Heavy rain,1,27293.22,5.833994785,45.7365,3.38671
Albania,15-Mar-13,12-Apr-13,29,0,2800,Heavy rain,1,3304.87,4.981552379,19.6182,42.0043
Argentina,01-Apr-13,07-Apr-13,7,59,3000,Torrential rain,2,18135.4,5.404655175,-58.6759,-34.4809
Mauritius,31-Mar-13,03-Apr-13,4,11,0,Torrential rain,1.5,1679.67,4.003375216,57.5238,-20.2305
South Sudan,25-Mar-13,03-Apr-13,10,0,12000,Heavy rain,1.5,215662.54,6.509865975,31.2168,6.06426
Kenya,28-Mar-13,29-Apr-13,33,63,18633,Heavy rain,1.5,73170.41,6.558940687,36.718,2.46174
Spain,31-Mar-13,03-Apr-13,4,2,300,Torrential rain,1.5,53241.03,5.504397699,-3.81041,40.2882
Peru,10-Mar-13,17-Mar-13,8,0,3000,Heavy rain,1.5,740437.68,6.948669757,-70.9926,-16.5124
Portugal,14-Mar-13,17-Mar-13,4,0,30,Heavy rain,1,2985.69,4.077104705,-25.5351,37.8419
France,09-Mar-13,17-Mar-13,9,1,1200,Heavy rain,1,5910.43,4.725861588,2.54269,43.2579
Spain,13-Mar-13,17-Mar-13,5,0,200,Heavy rain,1,12282.15,4.788244401,-2.94021,37.8967
Namibia,01-Mar-13,17-Mar-13,17,0,10000,Heavy rain,1,100905.17,6.234362340,22.6244,-17.8146
Macedonia,25-Feb-13,04-Mar-13,8,1,1200,Heavy rain,1,3700.4,4.471338659,21.5776,42.0408
Thailand,25-Feb-13,04-Mar-13,8,0,130,Heavy rain,1,9339.75,4.873425238,101.308,6.46589
Australia,25-Feb-13,04-Mar-13,8,2,200,Monsoonal rain,1,240506.1,6.284216083,149.832,-24.971
Malaysia,10-Feb-13,04-Mar-13,23,0,5167,Heavy rain,1,30584.22,5.847225245,102.026,4.29951
Indonesia,20-Feb-13,04-Mar-13,13,0,1000,Heavy rain,1.5,4201.51,4.913440013,104.265,-2.41871
Russia,20-Feb-13,04-Mar-13,13,4,1500,Torrential rain,1,2432.33,4.499965849,39.2468,44.3289
Indonesia,16-Feb-13,18-Feb-13,3,17,0,Heavy rain,1,28873.67,4.937623243,124.508,1.0256
Indonesia,16-Feb-13,18-Feb-13,3,0,3452,Heavy rain,1,21653.62,4.812651766,100.565,0.733498
Papua New Guinea,01-Dec-12,12-Feb-13,74,0,500,Heavy rain,1,245461.58,7.259215245,144.477,-5.88736
Peru,08-Feb-13,12-Feb-13,5,31,2400,Heavy rain,2,577782.56,6.761764429,-69.094,-20.3461
Botswana,15-Jan-13,01-Feb-13,18,0,400,Heavy rain,1.5,198590.48,6.729322190,25.0646,-20.3766
Seychelles,27-Jan-13,01-Feb-13,6,0,106,Torrential rain,1.5,451.786,3.609175278,55.4243,-4.60943
Australia,22-Jan-13,01-Feb-13,11,6,8000,Tropical Storm,1.5,1021219.24,7.226602933,144.818,-19.3725
Mozambique,17-Jan-13,04-Mar-13,47,135,170000,Heavy rain,1.5,83155.21,6.768078582,32.6773,-24.8006
Kenya,13-Jan-13,17-Jan-13,5,20,400,Heavy rain,1,71113.05,5.550919310,36.5172,0.058024
Malawi,15-Nov-12,22-Jan-13,69,3,3000,Heavy rain,1,20095.7,6.141952229,35.2027,-15.6178
Indonesia,13-Jan-13,22-Jan-13,10,32,46000,Monsoonal rain,2,1746.34,4.543158797,106.73,-6.17945
Palestine,08-Jan-13,10-Jan-13,3,2,1600,Heavy rain,1.5,29142.93,5.117745727,36.4502,32.8398
Sri Lanka,08-Jan-13,17-Jan-13,10,52,56747,Heavy rain,1.5,26063.39,5.592122162,80.9219,7.59777
Peru,04-Jan-13,10-Jan-13,7,0,2000,Torrential rain,1.5,318648.95,6.524501791,-76.4573,-9.28298
Philippines,04-Jan-13,10-Jan-13,7,0,3180,Heavy rain,1,51781.98,5.559276693,125.308,7.25699
Philippines,03-Jan-13,10-Jan-13,8,0,520,Tropical Storm,1,6143.56,4.691510091,118.626,9.88586
Malaysia,03-Jan-13,10-Jan-13,8,0,600,Torrential rain,1,29317.81,5.370221513,101.661,5.48006
Indonesia,03-Jan-13,10-Jan-13,8,8,1000,Heavy rain,1,67600.2,5.733037968,121.883,-3.86702
Russia,06-Jan-13,10-Jan-13,5,4,1500,Torrential rain,1.5,5668.01,4.628491871,39.1034,44.2559
South Africa,11-Dec-12,13-Dec-12,3,3,10,Heavy rain,1,21010.51,4.799557849,30.1336,-30.568
Sri Lanka,16-Dec-12,18-Dec-12,3,9,6000,Heavy rain,1.5,49084.64,5.344158124,80.7759,7.97653
UK,20-Nov-12,18-Dec-12,29,4,1700,Heavy rain,1,106806.88,6.490997227,-1.19371,53.4569
Malaysia,01-Dec-12,04-Dec-12,4,0,150,Torrential rain,1,31978.97,5.106924463,103.073,2.61996
Argentina,20-Nov-12,04-Dec-12,15,6,10000,Heavy rain,1.5,377212.55,6.928768652,-59.6252,-27.5025
Turkey,02-Dec-12,04-Dec-12,3,1,0,Torrential rain,1,15306.67,4.662001974,28.7097,39.5093
Italy,11-Nov-12,18-Nov-12,8,4,500,Torrential rain,1.5,66842.9,5.904236530,12.4131,43.1605
Spain,13-Nov-12,18-Nov-12,6,0,120,Torrential rain,1,12226.85,4.865465835,-3.62785,37.0752
Malaysia,04-Nov-12,08-Nov-12,5,0,4000,Heavy rain,1,55785.44,5.445490867,102.61,2.87071
India,04-Nov-12,08-Nov-12,5,40,70000,Tropical Storm,2,126082.83,6.100655948,78.8042,11.8283
Vietnam,24-Oct-12,29-Oct-12,6,30,260000,Tropical Storm,2,158124.44,6.278180247,105.504,19.0565
South Africa,24-Oct-12,29-Oct-12,6,12,0,Heavy rain,1.5,14489.12,5.115284519,26.5615,-32.9367
Canada,25-Oct-12,29-Oct-12,5,0,700,Heavy rain,1.5,1592.26,4.077075248,-84.5569,48.3513
USA,24-Oct-12,29-Oct-12,6,65,0,Tropical Storm,2,293995.06,6.547521279,-75.228,39.9231
Russia,09-Oct-12,15-Oct-12,7,7,1120,Torrential rain,1.5,10482.16,5.041640084,47.5986,42.3329
Chad,15-Sep-12,15-Oct-12,31,0,17000,Heavy rain,1,86061.68,6.426171513,20.5066,11.0786
Niger,15-Sep-12,15-Oct-12,31,91,0,Heavy rain,1,121035.65,6.574275001,2.95649,14.316
Iran,12-Oct-12,15-Oct-12,4,7,1000,Torrential rain,1.5,11490.12,4.838475815,54.2681,36.5397
Somalia,22-Sep-12,03-Oct-12,12,6,12200,Heavy rain,1.5,13753.99,5.393701209,44.8967,4.94456
South Sudan,07-Sep-12,03-Oct-12,27,15,3000,Heavy rain,1,138743.9,6.573577662,29.586,9.56942
UK,23-Sep-12,26-Sep-12,4,0,1500,Heavy rain,1,8507,4.531836424,-2.13086,54.4062
USA,20-Sep-12,26-Sep-12,7,0,2000,Heavy rain,1,8846.21,4.791855285,-149.932,63.1691
Nigeria,15-Sep-12,29-Oct-12,45,148,64000,Heavy rain,2,12538.4,6.052484630,6.33994,5.50441
India,19-Sep-12,15-Oct-12,27,21,2000000,Monsoonal rain,2,42597.57,6.361778585,93.6379,26.8031
China,09-Sep-12,18-Sep-12,10,7,0,Heavy rain,1.5,56959.95,5.931660858,107.186,30.3813
Thailand,12-Sep-12,26-Sep-12,15,0,3000,Monsoonal rain,1,44011.3,5.819655456,99.6405,17.0909
Pakistan,10-Sep-12,29-Oct-12,50,400,742000,Monsoonal rain,1.5,23036.11,6.237470407,68.7756,28.0445
India,16-Sep-12,18-Sep-12,3,45,200,Torrential rain,2,37710.76,5.354616535,76.8569,31.3063
The Gambia,02-Sep-12,07-Sep-12,6,0,41,Heavy rain,1,4747.33,4.454600672,-16.1515,13.4093
Kenya,15-Aug-12,07-Sep-12,24,0,3000,Heavy rain,1,18459.66,5.646434939,35.8295,1.36637
Uganda,20-Aug-12,07-Sep-12,19,0,15000,Heavy rain,1,57981.45,6.042042673,32.726,2.65647
North Korea,17-Aug-12,07-Sep-12,22,59,24000,Tropical Storm,1.5,24179.42,5.901959819,126.246,38.1949
Vietnam,02-Sep-12,07-Sep-12,6,6,5000,Torrential rain,1,16825.58,5.004121294,105.458,19.0626
USA,28-Aug-12,07-Sep-12,11,1,60000,Hurricane,1.5,83938.23,6.141443751,-89.346,30.503
Nigeria,25-Aug-12,26-Sep-12,33,127,20000,Heavy rain,1.5,96830.55,6.680617598,12.1089,9.30166
China,25-Aug-12,29-Aug-12,5,6,30,Torrential rain,1.5,45130.63,5.529532659,106.115,37.3916
