Country,Began,Ended,Duration in Days,Dead,Displaced,Main cause,Severity *,Affected sq km,Magnitude (M)**,Longitude of Centroid X,Latitude of Centroid Y
Greece,09-Mar-06,25-Mar-06,17,0,0,Rain and snowmelt,1,19592.43,5.522537225,25.5658,40.8959
Malawi,07-Mar-06,14-Mar-06,8,3,8000,Heavy rain,2,64885.47,6.016267437,35.1189,-14.5915
Australia,03-Mar-06,23-Mar-06,21,0,0,Tropical cyclone,2,37924.86,6.202173277,114.989,-27.41
Philippines,04-Mar-06,06-Mar-06,3,1,1000,Heavy rain,1,628.611,3.275503231,125.565,7.17194
Australia,01-Mar-06,08-Mar-06,8,0,0,Heavy rain,1,33679.3,5.430453043,152.621,-30.2302
Papua New Guinea,18-Feb-06,24-Feb-06,7,6,5000,Heavy rain,1,7506.79,4.720552307,144.381,-5.79946
Namibia,24-Feb-06,28-Feb-06,5,5,2100,Dam Break,2,16107.27,5.207021939,17.9801,-24.5303
Serbia,21-Feb-06,01-Mar-06,9,0,1200,Rain and snowmelt,1,10087.24,4.958014863,20.8258,42.6033
USA,21-Feb-06,06-Mar-06,14,0,0,Heavy rain,1,3020.97,4.626274448,-157.97,21.494
Indonesia,13-Feb-06,23-Feb-06,11,33,17500,Monsoonal rain,1,33830.6,5.570702385,124.664,1.07274
Brazil,13-Feb-06,20-Mar-06,36,3,33000,Heavy rain,1,149086.15,6.729739800,-70.2968,-9.14637
Vietnam,14-Feb-06,21-Feb-06,8,0,500,Heavy rain,2,17541.13,5.448177550,106.928,17.0428
Yemen,20-Feb-06,23-Feb-06,4,5,2000,Heavy rain,1,10706.76,4.631718059,44.1777,14.5368
China,16-Feb-06,23-Feb-06,8,0,3000,Snowmelt,1,76506.6,5.786788889,87.2118,40.658
Ecuador,16-Feb-06,06-May-06,80,17,55000,Heavy rain,1,61414.58,6.691361473,-79.9807,-2.23169
Lesotho,15-Feb-06,23-Feb-06,9,9,3000,Heavy rain,2,30123.57,5.734178945,28.2416,-29.6695
Philippines,10-Feb-06,18-Feb-06,9,20,30000,Monsoonal rain,1,78789.89,5.850713004,125.115,8.15732
Algeria,10-Feb-06,15-Feb-06,6,1,60000,Heavy rain,1,180478.52,6.034576771,-5.907,27.6696
Malaysia,10-Feb-06,18-Feb-06,9,3,7000,Heavy rain,1,85479.98,5.886106921,102.536,4.32621
Iraq,04-Feb-06,12-Feb-06,9,0,28000,Heavy rain,1,77638.16,5.844317744,45.4859,34.2105
Indonesia,07-Feb-06,13-Feb-06,7,0,300,Heavy rain,1,29003.72,5.307551744,102.23,-1.81545
Papua New Guinea,03-Feb-06,19-Feb-06,17,1,12000,Heavy rain,2,34451.65,6.068688944,147.275,-9.06991
Fiji,04-Feb-06,09-Feb-06,6,4,224,Heavy rain,1,2372.59,4.153373946,179.651,-16.4518
Tanzania,03-Feb-06,12-Feb-06,10,1,938,Heavy rain,1,75937.07,5.880453836,32.523,-5.32376
Saudi Arabia,01-Feb-06,06-Feb-06,6,6,0,Heavy rain,1,22619.33,5.132630987,35.5811,29.7338
Fiji,29-Jan-06,06-Feb-06,9,0,168,Tropical cyclone,1,6258.01,4.750678762,177.68,-17.8194
Norway,30-Jan-06,04-Feb-06,6,1,200,Heavy rain,2,41523.05,5.697470492,11.9318,64.1501
Indonesia,26-Jan-06,14-Feb-06,20,19,10000,Monsoonal rain,1,73074.39,6.164795194,108.593,-6.8528
Indonesia,22-Jan-06,27-Jan-06,6,11,3000,Monsoonal rain,1,47810.17,5.457671538,117.291,-8.44131
Brazil,27-Jan-06,30-Jan-06,4,12,0,Torrential rain,1,9335.39,4.572192457,-43.3569,-22.5574
